498, 0.068, 6
468, 0.087, 25
422, 0.132, 4
388, 0.17, 6
262, 0.0, 10
756, 0.15, 9
219, 0.0, 4
182, 0.213, 5
166, 0.0, 3
413, 0.051, 15
496, 0.049, 16
324, 0.058, 30
110, 0.0, 6
206, 0.035, 8
442, 0.193, 4
529, 0.256, 5
593, 0.162, 9
88, 0.173, 3
73, 0.0, 1
308, 0.075, 9
122, 0.103, 4
57, 0.238, 1
44, 0.0, 1
241, 0.0, 9
42, 0.048, 1
45, 0.0, 1
81, 0.0, 0
183, 0.081, 11
512, 0.158, 34
38, 0.144, 1
33, 0.032, 2
61, 0.165, 1
62, 0.0, 1
175, 0.158, 17
23, 0.155, 2
23, 0.0, 0
69, 0.082, 1
21, 0.139, 0
19, 0.102, 1
35, 0.191, 0
98, 0.113, 6
19, 0.149, 0
17, 0.0, 0
15, 0.0, 2
15, 0.0, 0
16, 0.095, 1
17, 0.096, 1
35, 0.101, 1
60, 0.214, 8
17, 0.344, 1
54, 0.0, 3
68, 0.316, 7
15, 0.365, 0
11, 0.181, 0
13, 0.171, 1
26, 0.202, 1
10, 0.101, 0
13, 0.0, 1
11, 0.108, 0
11, 0.081, 0
50, 0.147, 0
20, 0.0, 0
38, 0.061, 1
28, 0.091, 0
9, 0.179, 0
8, 0.156, 0
9, 0.094, 0
17, 0.101, 0
7, 0.121, 0
8, 0.138, 3
8, 0.07, 0
8, 0.119, 0
7, 0.087, 1
7, 0.215, 0
8, 0.0, 0
6, 0.135, 0
6, 0.139, 1
8, 0.258, 0
7, 0.0, 0
7, 0.073, 0
19, 0.284, 1
6, 0.137, 0
6, 0.099, 0
7, 0.171, 0
7, 0.093, 0
7, 0.0, 0
6, 0.107, 0
6, 0.135, 0
5, 0.161, 0
7, 0.083, 0
5, 0.25, 0
6, 0.338, 0
20, 0.103, 2
23, 0.173, 2
11, 0.12, 0
10, 0.081, 2
18, 0.306, 0
10, 0.061, 0
7, 0.0, 5
5, 0.219, 0
5, 0.231, 3
6, 0.104, 0
6, 0.0, 0
5, 0.112, 0
5, 0.082, 0
5, 0.032, 1
6, 0.184, 0
6, 0.227, 0
5, 0.0, 0
10, 0.188, 2
8, 0.281, 0
10, 0.127, 0
18, 0.107, 0
8, 0.131, 0
3, 0.172, 0
3, 0.076, 0
4, 0.159, 0
5, 0.136, 0
5, 0.054, 0
4, 0.074, 0
4, 0.0, 0
4, 0.172, 0
4, 0.113, 0
5, 0.135, 0
16, 0.069, 2
24, 0.135, 0
11, 0.0, 0
6, 0.172, 0
6, 0.323, 0
10, 0.181, 2
9, 0.122, 0
7, 0.474, 0
6, 0.114, 1
4, 0.382, 0
8, 0.136, 0
7, 0.0, 0
5, 0.0, 1
7, 0.077, 0
9, 0.234, 0
7, 0.281, 0
11, 0.176, 0
3, 0.084, 0
3, 0.29, 0
3, 0.161, 0
3, 0.196, 0
3, 0.32, 0
3, 0.294, 0
3, 0.0, 0
3, 0.325, 0
3, 0.0, 0
3, 0.358, 0
3, 0.169, 0
3, 0.0, 0
3, 0.077, 0
3, 0.135, 1
3, 0.102, 0
3, 0.053, 0
