2395, 0.0, 9
3668, 0.136, 34
2229, 0.226, 9
6593, 0.0, 35
638, 0.0, 3
1278, 0.0, 7
2733, 0.0, 11
1180, 0.0, 3
1092, 0.0, 1
1916, 0.0, 14
1217, 0.161, 6
5972, 0.0, 10
3692, 0.0, 9
1094, 0.355, 3
2575, 0.175, 13
980, 0.331, 3
3061, 0.0, 12
681, 0.0, 6
1381, 0.114, 9
5937, 0.0, 43
2224, 0.148, 27
3468, 0.0, 10
2697, 0.0, 8
1755, 0.172, 1
2110, 0.259, 3
1656, 0.0, 7
3253, 0.146, 10
408, 0.0, 0
3091, 0.0, 7
1028, 0.197, 6
4312, 0.252, 11
914, 0.052, 4
1324, 0.032, 9
698, 0.12, 3
260, 0.089, 0
89, 0.136, 0
2508, 0.119, 15
389, 0.0, 7
428, 0.0, 0
479, 0.12, 0
158, 0.0, 0
1513, 0.369, 3
260, 0.041, 4
1430, 0.0, 4
430, 0.135, 1
3910, 0.178, 7
563, 0.093, 0
634, 0.0, 1
690, 0.326, 3
108, 0.068, 0
1111, 0.351, 1
313, 0.121, 0
52, 0.0, 0
1256, 0.239, 2
381, 0.102, 1
676, 0.162, 0
89, 0.0, 1
491, 0.0, 1
80, 0.102, 0
194, 0.259, 1
132, 0.0, 0
156, 0.102, 3
33, 0.23, 1
70, 0.134, 0
116, 0.214, 0
33, 0.269, 0
30, 0.16, 0
53, 0.149, 0
328, 0.167, 0
24, 0.22, 0
24, 0.132, 0
469, 0.179, 6
508, 0.133, 3
230, 0.192, 1
45, 0.054, 0
145, 0.251, 1
221, 0.189, 1
43, 0.146, 0
769, 0.139, 0
42, 0.175, 0
19, 0.268, 0
124, 0.31, 0
105, 0.162, 0
344, 0.3, 0
244, 0.254, 0
